batter,runs,avg,strike_rate
V Kohli,6634,36.251366,125.977972
S Dhawan,6244,34.882682,122.840842
DA Warner,5883,41.429577,136.401577
RG Sharma,5881,30.314433,126.964594
SK Raina,5536,32.374269,132.535312
AB de Villiers,5181,39.853846,148.580442
CH Gayle,4997,39.658730,142.121729
MS Dhoni,4978,39.196850,130.931089
RV Uthappa,4954,27.522222,126.152279
KD Karthik,4377,26.852761,129.267572
G Gambhir,4217,31.007353,119.665153
AT Rayudu,4190,28.896552,124.148148
AM Rahane,4074,30.863636,117.575758
KL Rahul,3895,46.927711,132.799182
SR Watson,3880,30.793651,134.163209
MK Pandey,3657,29.731707,117.739858
SV Samson,3526,29.140496,132.407060
KA Pollard,3437,28.404959,140.457703
F du Plessis,3403,34.373737,127.167414
YK Pathan,3222,29.290909,138.046272
BB McCullum,2882,27.711538,126.848592
RR Pant,2851,34.768293,142.550000
PA Patel,2848,22.603175,116.625717
JC Buttler,2832,39.333333,144.859335
SS Iyer,2780,31.235955,121.132898
Q de Kock,2767,31.804598,130.951254
Yuvraj Singh,2754,24.810811,124.784776
V Sehwag,2728,27.555556,148.827059
SA Yadav,2644,29.707865,134.009123
M Vijay,2619,25.930693,118.614130
RA Jadeja,2502,26.617021,122.108346
SPD Smith,2495,34.652778,124.812406
SE Marsh,2489,39.507937,130.109775
DA Miller,2455,36.102941,133.569097
JH Kallis,2427,28.552941,105.936273
WP Saha,2427,25.281250,124.397745
DR Smith,2385,28.392857,132.279534
MA Agarwal,2335,22.669903,129.506378
SR Tendulkar,2334,33.826087,114.187867
GJ Maxwell,2320,25.494505,147.676639
N Rana,2181,27.961538,130.053667
R Dravid,2174,28.233766,113.347237
KS Williamson,2105,36.293103,123.315759
AJ Finch,2092,24.904762,123.349057
AC Gilchrist,2069,27.223684,133.054662
AD Russell,2039,29.985294,168.234323
JP Duminy,2029,39.784314,120.773810
MEK Hussey,1977,38.764706,119.963592
HH Pandya,1972,29.878788,140.256046
Shubman Gill,1900,32.203390,122.186495
