match_id,batsman_runs
5,42
8,87
14,23
19,65
23,12
27,78
31,35
36,91
39,8
44,54
49,67
53,29
58,103
62,45
67,18
72,72
76,39
81,84
85,26
89,59
94,47
98,31
103,95
107,13
112,82
116,37
121,69
125,14
129,53
133,76
138,28
142,61
147,43
151,9
156,87
160,34
165,116
169,52
174,21
179,74
183,38
188,93
192,17
197,69
202,44
206,27
211,83
215,36
219,59
224,12
228,64
233,42
238,97
243,25
247,73
251,31
256,88
260,19
265,56
269,41
274,114
279,33
283,67
288,22
292,79
297,48
301,15
306,89
311,51
315,24
320,76
324,39
329,92
333,27
337,63
342,34
346,81
351,16
356,57
360,45
365,98
369,29
374,72
378,41
383,13
387,86
392,52
396,37
401,94
405,26
410,68
414,47
419,19
423,73
428,44
432,92
437,29
441,61
446,38
450,85
455,23
459,56
464,41
468,77
473,32
477,89
482,17
486,65
491,49
495,28
500,81
504,36
509,74
513,22
518,58
522,43
527,97
531,31
536,67
541,39
545,84
550,26
554,62
559,48
563,15
568,91
572,33
577,71
582,44
586,19
591,79
595,53
600,27
604,86
609,37
613,64
618,29
622,75
627,41
631,88
636,24
